wavelength_nm, transmission
1.553513513513513544e+03,4.026080379142274457e-03
1.553613613613613552e+03,4.047376645459298088e-03
1.553713713713713787e+03,4.068963461657006987e-03
1.553813813813813795e+03,4.090845161093982843e-03
1.553913913913913802e+03,4.113026166062811600e-03
1.554014014014014037e+03,4.135510989895295302e-03
1.554114114114114045e+03,4.158304239126627173e-03
1.554214214214214280e+03,4.181410615721575276e-03
1.554314314314314288e+03,4.204834919363429312e-03
1.554414414414414523e+03,4.228582049808767181e-03
1.554514514514514531e+03,4.252657009308915582e-03
1.554614614614614538e+03,4.277064905102245448e-03
1.554714714714714773e+03,4.301810951977316083e-03
1.554814814814814781e+03,4.326900474911164925e-03
1.554914914914915016e+03,4.352338911784015343e-03
1.555015015015015024e+03,4.378131816172995891e-03
1.555115115115115032e+03,4.404284860228886017e-03
1.555215215215215267e+03,4.430803837636192698e-03
1.555315315315315274e+03,4.457694666661839340e-03
1.555415415415415509e+03,4.484963393294052504e-03
1.555515515515515517e+03,4.512616194474580213e-03
1.555615615615615525e+03,4.540659381427778092e-03
1.555715715715715760e+03,4.569099403090246155e-03
1.555815815815815768e+03,4.597942849642858501e-03
1.555915915915916003e+03,4.627196456151362429e-03
1.556016016016016010e+03,4.656867106316105523e-03
1.556116116116116018e+03,4.686961836337579825e-03
1.556216216216216253e+03,4.717487838900157916e-03
1.556316316316316261e+03,4.748452467278485231e-03
1.556416416416416496e+03,4.779863239571105656e-03
1.556516516516516504e+03,4.811727843065457741e-03
1.556616616616616511e+03,4.844054138739499471e-03
1.556716716716716746e+03,4.876850165904303598e-03
1.556816816816816754e+03,4.910124146992274341e-03
1.556916916916916989e+03,4.943884492497980718e-03
1.557017017017016997e+03,4.978139806074468807e-03
1.557117117117117232e+03,5.012898889793431650e-03
1.557217217217217240e+03,5.048170749572948243e-03
1.557317317317317247e+03,5.083964600780807759e-03
1.557417417417417482e+03,5.120289874018285788e-03
1.557517517517517490e+03,5.157156221092019238e-03
1.557617617617617725e+03,5.194573521180702834e-03
1.557717717717717733e+03,5.232551887203748184e-03
